pct,probability,available,distance,price,stars,construction,events,congestion,hazards
40.0,84.0,18.0,986.0,2.0,1.0,14,0,0,0
34.0,88.0,7.0,991.0,0.0,-1.0,2,0,5,0
55.0,69.0,13.0,420.0,1.0,-1.0,4,0,0,0
38.0,85.0,522.0,190.0,2.0,-1.0,8,0,0,0
32.0,89.0,28.0,715.0,-1.0,-1.0,14,0,0,0
38.0,85.0,16.0,493.0,-1.0,-1.0,0,0,0,0
35.0,87.0,12.0,442.0,1.0,-1.0,8,0,0,0
33.0,89.0,16.0,482.0,4.0,-1.0,8,0,0,0
33.0,89.0,10.0,372.0,1.0,-1.0,8,0,0,0
37.0,86.0,20.0,440.0,1.0,-1.0,10,0,0,0
35.0,87.0,32.0,382.0,4.0,3.0,10,0,0,0
34.0,88.0,7.0,970.0,0.0,-1.0,6,0,0,0
42.0,82.0,26.0,955.0,1.0,-1.0,2,0,5,0
37.0,86.0,65.0,544.0,0.0,-1.0,14,0,0,0
32.0,89.0,15.0,480.0,4.0,-1.0,14,0,0,0
32.0,89.0,17.0,507.0,-1.0,-1.0,14,0,0,0
37.0,86.0,229.0,641.0,3.0,5.0,14,0,0,0
38.0,85.0,124.0,525.0,2.0,-1.0,14,0,0,0
35.0,87.0,33.0,621.0,2.0,-1.0,14,0,0,0
35.0,87.0,19.0,442.0,3.0,4.0,4,0,5,0
43.0,81.0,257.0,501.0,3.0,1.0,0,0,0,0
38.0,85.0,21.0,468.0,3.0,4.5,4,0,5,0
45.0,79.0,36.0,956.0,1.0,-1.0,10,0,0,0
37.0,86.0,55.0,908.0,3.0,1.0,10,0,0,0
39.0,84.0,13.0,887.0,1.0,-1.0,8,0,0,0
30.0,91.0,56.0,891.0,2.0,1.0,18,0,0,0
34.0,88.0,18.0,934.0,2.0,2.3333333333333335,12,0,0,0
24.0,94.0,55.0,204.0,-1.0,-1.0,12,0,0,0
32.0,89.0,24.0,840.0,2.0,4.333333333333333,10,0,0,0
28.0,92.0,19.0,836.0,2.0,-1.0,12,0,0,0
30.0,91.0,9.0,816.0,-1.0,-1.0,12,0,0,0
31.0,90.0,27.0,585.0,3.0,-1.0,20,0,0,0
35.0,87.0,388.0,274.0,2.0,-1.0,10,0,0,0
31.0,90.0,276.0,342.0,2.0,-1.0,20,0,0,0
30.0,91.0,9.0,458.0,2.0,-1.0,20,0,0,0
44.0,80.0,20.0,455.0,1.0,-1.0,8,0,0,0
35.0,87.0,14.0,803.0,4.0,5.0,12,0,0,0
33.0,89.0,58.0,681.0,-1.0,-1.0,0,0,5,0
40.0,84.0,39.0,616.0,4.0,-1.0,4,0,5,0
33.0,89.0,13.0,669.0,-1.0,-1.0,0,0,0,0
34.0,88.0,29.0,660.0,-1.0,-1.0,0,0,5,0
32.0,89.0,25.0,703.0,-1.0,-1.0,0,0,5,0
30.0,91.0,112.0,992.0,4.0,1.0,12,0,0,0
37.0,86.0,15.0,980.0,-1.0,-1.0,4,0,0,0
48.0,76.0,22.0,805.0,1.0,-1.0,0,0,5,0
32.0,89.0,81.0,508.0,1.0,-1.0,0,0,0,0
37.0,86.0,44.0,490.0,3.0,-1.0,4,0,5,0
46.0,78.0,100.0,575.0,1.0,-1.0,0,0,5,0
37.0,86.0,49.0,586.0,4.0,-1.0,0,0,0,0
28.0,92.0,12.0,843.0,1.0,-1.0,10,0,0,0
34.0,88.0,57.0,929.0,2.0,-1.0,10,0,0,0
32.0,89.0,7.0,961.0,4.0,-1.0,10,0,0,0
34.0,88.0,21.0,315.0,-1.0,-1.0,2,0,0,0
25.0,93.0,319.0,321.0,2.0,-1.0,2,0,0,0
33.0,89.0,234.0,459.0,2.0,2.75,2,0,0,0
28.0,92.0,7.0,326.0,-1.0,-1.0,2,0,0,0
31.0,90.0,27.0,562.0,2.0,4.75,24,0,0,0
32.0,89.0,17.0,679.0,-1.0,-1.0,12,0,0,0
44.0,80.0,20.0,730.0,1.0,-1.0,10,0,0,0
31.0,90.0,91.0,758.0,0.0,-1.0,10,0,0,0
48.0,76.0,348.0,352.0,1.0,-1.0,16,0,0,0
38.0,85.0,50.0,907.0,2.0,-1.0,2,0,0,0
33.0,89.0,167.0,504.0,2.0,-1.0,14,0,0,0
48.0,76.0,569.0,813.0,1.0,-1.0,12,0,0,0
36.0,87.0,46.0,769.0,3.0,-1.0,8,0,0,0
44.0,80.0,19.0,432.0,2.0,-1.0,8,0,0,0
40.0,84.0,60.0,786.0,2.0,-1.0,2,0,0,0
43.0,81.0,18.0,600.0,2.0,-1.0,20,0,0,0
41.0,83.0,297.0,522.0,1.0,-1.0,20,0,0,0
37.0,86.0,417.0,846.0,4.0,3.0,8,0,0,0
41.0,83.0,392.0,762.0,2.0,-1.0,12,0,0,0
30.0,91.0,266.0,424.0,2.0,1.0,18,0,0,0
45.0,79.0,496.0,386.0,2.0,-1.0,20,0,0,0
31.0,90.0,7.0,408.0,3.0,5.0,20,0,0,0
45.0,79.0,66.0,410.0,1.0,-1.0,14,0,0,0
35.0,87.0,53.0,604.0,4.0,-1.0,18,0,0,0
44.0,80.0,25.0,843.0,2.0,-1.0,14,0,0,0
41.0,83.0,11.0,735.0,3.0,1.0,18,0,0,0
41.0,83.0,147.0,544.0,2.0,-1.0,20,0,0,0
30.0,91.0,92.0,570.0,2.0,-1.0,14,0,0,0
41.0,83.0,33.0,702.0,1.0,1.0,4,0,0,0
43.0,81.0,152.0,936.0,2.0,5.0,0,0,0,0
42.0,82.0,136.0,859.0,2.0,5.0,2,0,5,0
46.0,78.0,38.0,417.0,3.0,-1.0,16,0,0,0
40.0,84.0,72.0,303.0,3.0,2.5,24,0,0,0
43.0,81.0,32.0,967.0,3.0,1.0,0,0,0,0
40.0,84.0,96.0,138.0,2.0,-1.0,26,0,0,0
35.0,87.0,22.0,589.0,2.0,-1.0,14,0,0,0
31.0,90.0,22.0,975.0,2.0,-1.0,6,0,0,0
36.0,87.0,112.0,820.0,-1.0,-1.0,2,0,0,0
40.0,84.0,6.0,550.0,4.0,-1.0,20,0,0,0
33.0,89.0,50.0,581.0,4.0,-1.0,8,0,0,0
42.0,82.0,28.0,903.0,0.0,-1.0,0,0,0,0
37.0,86.0,272.0,971.0,2.0,-1.0,16,0,0,0
36.0,87.0,32.0,618.0,1.0,-1.0,14,0,0,0
37.0,86.0,45.0,739.0,3.0,-1.0,10,0,0,0
45.0,79.0,99.0,444.0,2.0,-1.0,14,0,0,0
39.0,84.0,160.0,653.0,3.0,-1.0,14,0,0,0
45.0,79.0,74.0,980.0,3.0,1.0,8,0,4,0
36.0,87.0,12.0,665.0,-1.0,-1.0,12,0,0,0
43.0,81.0,246.0,558.0,4.0,-1.0,20,0,0,0
36.0,87.0,17.0,615.0,2.0,-1.0,20,0,0,0
42.0,82.0,56.0,485.0,3.0,-1.0,10,0,0,0
36.0,87.0,80.0,787.0,-1.0,-1.0,2,0,0,0
41.0,83.0,19.0,98.0,4.0,1.0,34,0,0,0
44.0,80.0,39.0,147.0,-1.0,1.0,30,0,0,0
38.0,85.0,68.0,458.0,3.0,4.0,14,0,0,0
41.0,83.0,20.0,538.0,2.0,-1.0,4,0,0,0
37.0,86.0,18.0,542.0,2.0,-1.0,4,0,0,0
42.0,82.0,87.0,861.0,3.0,-1.0,0,0,0,0
44.0,80.0,6.0,331.0,4.0,-1.0,24,0,0,0
44.0,80.0,19.0,702.0,-1.0,-1.0,2,0,0,0
38.0,85.0,56.0,721.0,1.0,-1.0,2,0,0,0
34.0,88.0,36.0,529.0,2.0,-1.0,20,0,0,0
35.0,87.0,33.0,570.0,2.0,-1.0,20,0,0,0
38.0,85.0,21.0,915.0,2.0,-1.0,0,0,0,0
46.0,78.0,91.0,955.0,2.0,-1.0,0,0,0,0
43.0,81.0,50.0,742.0,3.0,-1.0,8,0,0,0
35.0,87.0,7.0,628.0,0.0,-1.0,4,0,0,0
37.0,86.0,22.0,378.0,2.0,-1.0,26,0,0,0
34.0,88.0,44.0,331.0,2.0,-1.0,14,0,0,0
39.0,84.0,8.0,902.0,-1.0,1.0,8,0,0,0
43.0,81.0,30.0,639.0,2.0,-1.0,8,0,0,0
38.0,85.0,256.0,287.0,2.0,5.0,16,0,0,0
44.0,80.0,232.0,217.0,1.0,5.0,26,0,0,0
35.0,87.0,15.0,156.0,2.0,-1.0,24,0,0,0
36.0,87.0,10.0,316.0,3.0,-1.0,24,0,0,0
40.0,84.0,70.0,442.0,2.0,2.0,18,0,0,0
47.0,77.0,8.0,702.0,3.0,2.25,2,0,0,0
38.0,85.0,40.0,543.0,2.0,-1.0,14,0,0,0
31.0,90.0,37.0,525.0,2.0,5.0,18,0,0,0
37.0,86.0,20.0,989.0,3.0,5.0,8,0,0,0
36.0,87.0,35.0,809.0,2.0,-1.0,10,0,0,0
33.0,89.0,32.0,854.0,3.0,-1.0,8,0,0,0
37.0,86.0,5.0,939.0,-1.0,-1.0,0,0,10,0
35.0,87.0,352.0,651.0,2.0,-1.0,14,0,0,0
31.0,90.0,158.0,553.0,2.0,5.0,20,0,0,0
36.0,87.0,64.0,551.0,3.0,1.0,8,0,0,0
38.0,85.0,38.0,584.0,2.0,-1.0,10,0,0,0
36.0,87.0,33.0,608.0,3.0,-1.0,6,0,0,0
39.0,84.0,65.0,329.0,2.0,-1.0,26,0,0,0
40.0,84.0,31.0,362.0,3.0,-1.0,26,0,0,0
44.0,80.0,25.0,925.0,1.0,-1.0,0,0,0,0
31.0,90.0,375.0,568.0,2.0,2.0,10,0,0,0
35.0,87.0,109.0,324.0,3.0,-1.0,24,0,0,0
45.0,79.0,192.0,211.0,3.0,-1.0,26,0,0,0
39.0,84.0,36.0,463.0,4.0,2.0,10,0,0,0
46.0,78.0,179.0,548.0,4.0,-1.0,14,0,0,0
32.0,89.0,27.0,614.0,3.0,-1.0,8,0,0,0
36.0,87.0,15.0,562.0,1.0,5.0,4,0,0,0
34.0,88.0,9.0,938.0,3.0,-1.0,6,0,0,0
40.0,84.0,78.0,370.0,3.0,-1.0,20,0,0,0
34.0,88.0,475.0,738.0,1.0,5.0,8,0,0,0
40.0,84.0,40.0,819.0,2.0,-1.0,18,0,0,0
34.0,88.0,7.0,362.0,0.0,-1.0,14,0,0,0
44.0,80.0,370.0,233.0,0.0,-1.0,18,0,0,0
44.0,80.0,11.0,350.0,2.0,-1.0,26,0,0,0
36.0,87.0,7.0,727.0,-1.0,-1.0,6,0,0,0
37.0,86.0,83.0,78.0,2.0,2.4,22,0,0,0
31.0,90.0,31.0,302.0,-1.0,-1.0,24,0,0,0
42.0,82.0,67.0,480.0,1.0,-1.0,10,0,0,0
47.0,77.0,15.0,970.0,1.0,-1.0,8,0,0,0
49.0,75.0,53.0,903.0,4.0,-1.0,14,0,0,0
33.0,89.0,1731.0,754.0,1.0,1.0,6,0,0,0
43.0,81.0,53.0,852.0,2.0,1.0,16,0,0,0
35.0,87.0,28.0,875.0,3.0,2.0,14,0,0,0
38.0,85.0,24.0,973.0,2.0,-1.0,4,0,0,0
37.0,86.0,28.0,587.0,2.0,3.6666666666666665,4,0,0,0
43.0,81.0,23.0,752.0,2.0,1.0,18,0,0,0
40.0,84.0,30.0,734.0,4.0,-1.0,18,0,0,0
40.0,84.0,33.0,646.0,2.0,1.0,18,0,0,0
39.0,84.0,193.0,961.0,2.0,-1.0,4,0,5,0
41.0,83.0,29.0,892.0,2.0,1.0,14,0,0,0
34.0,88.0,132.0,536.0,3.0,-1.0,8,0,0,0
34.0,88.0,259.0,459.0,4.0,-1.0,8,0,0,0
32.0,89.0,24.0,960.0,2.0,4.333333333333333,10,0,0,0
28.0,92.0,19.0,976.0,2.0,-1.0,12,0,0,0
30.0,91.0,9.0,992.0,-1.0,-1.0,12,0,0,0
39.0,84.0,67.0,776.0,2.0,-1.0,0,0,0,0
35.0,87.0,9.0,900.0,2.0,-1.0,14,0,0,0
39.0,84.0,39.0,652.0,0.0,-1.0,8,0,0,0
28.0,92.0,87.0,930.0,-1.0,-1.0,6,0,0,0
32.0,89.0,138.0,993.0,1.0,-1.0,4,0,0,0
40.0,84.0,15.0,900.0,2.0,1.0,8,0,0,0
42.0,82.0,6.0,750.0,2.0,-1.0,16,0,0,0
38.0,85.0,53.0,763.0,3.0,2.0,16,0,0,0
38.0,85.0,28.0,587.0,2.0,1.0,14,0,0,0
35.0,87.0,21.0,608.0,2.0,-1.0,4,0,0,0
31.0,90.0,20.0,608.0,2.0,-1.0,4,0,0,0
27.0,92.0,31.0,730.0,2.0,-1.0,0,0,0,0
43.0,81.0,34.0,551.0,4.0,-1.0,14,0,0,0
35.0,87.0,26.0,493.0,3.0,2.0,14,0,0,0
40.0,84.0,54.0,563.0,2.0,-1.0,14,0,0,0
43.0,81.0,91.0,736.0,2.0,3.0,0,0,0,0
25.0,93.0,51.0,914.0,2.0,2.4,10,0,0,0
40.0,84.0,8.0,796.0,2.0,-1.0,0,0,0,0
31.0,90.0,206.0,480.0,2.0,-1.0,14,0,0,0
50.0,75.0,30.0,652.0,-1.0,-1.0,0,0,0,0
47.0,77.0,66.0,964.0,3.0,-1.0,12,0,0,0
36.0,87.0,68.0,904.0,3.0,-1.0,4,0,0,0
32.0,89.0,7.0,903.0,4.0,-1.0,8,0,0,0
31.0,90.0,28.0,908.0,2.0,-1.0,8,0,0,0
32.0,89.0,7.0,872.0,4.0,-1.0,8,0,0,0
34.0,88.0,15.0,794.0,0.0,-1.0,2,0,0,0
35.0,87.0,7.0,792.0,3.0,-1.0,14,0,0,0
39.0,84.0,6.0,760.0,2.0,-1.0,16,0,0,0
30.0,91.0,11.0,803.0,2.0,1.0,10,0,0,0
30.0,91.0,56.0,942.0,2.0,1.0,18,0,0,0
34.0,88.0,18.0,891.0,2.0,2.3333333333333335,12,0,0,0
36.0,87.0,37.0,838.0,4.0,2.0,14,0,0,0
41.0,83.0,193.0,894.0,4.0,3.0,12,0,0,0
30.0,91.0,112.0,985.0,4.0,1.0,12,0,0,0
38.0,85.0,37.0,704.0,2.0,1.0,16,0,0,0
36.0,87.0,640.0,649.0,2.0,4.333333333333333,10,0,0,0
35.0,87.0,14.0,986.0,4.0,5.0,12,0,0,0
29.0,91.0,55.0,934.0,1.0,3.0,12,0,0,0
39.0,84.0,109.0,539.0,3.0,-1.0,16,0,0,0
36.0,87.0,324.0,504.0,1.0,4.0,14,0,0,0
49.0,75.0,17.0,978.0,-1.0,-1.0,6,0,2,0
42.0,82.0,179.0,584.0,2.0,-1.0,20,0,0,0
44.0,80.0,42.0,796.0,2.0,-1.0,2,0,0,0
32.0,89.0,112.0,975.0,-1.0,-1.0,2,0,2,0
39.0,84.0,6.0,562.0,4.0,-1.0,10,0,0,0
38.0,85.0,22.0,650.0,3.0,-1.0,20,0,0,0
38.0,85.0,114.0,684.0,3.0,-1.0,16,0,0,0
34.0,88.0,49.0,764.0,-1.0,-1.0,16,0,0,0
38.0,85.0,46.0,808.0,2.0,-1.0,14,0,0,0
47.0,77.0,74.0,692.0,2.0,2.3333333333333335,20,0,0,0
40.0,84.0,18.0,842.0,2.0,1.0,14,0,0,0
34.0,88.0,15.0,772.0,1.0,1.5,2,0,0,0
25.0,93.0,31.0,750.0,1.0,4.5,0,0,0,0
36.0,87.0,23.0,643.0,3.0,1.6666666666666667,6,0,0,0
46.0,78.0,95.0,449.0,2.0,4.0,14,0,0,0
33.0,89.0,235.0,510.0,3.0,-1.0,8,0,0,0
35.0,87.0,7.0,544.0,2.0,-1.0,10,0,0,0
21.0,95.0,197.0,869.0,2.0,1.0,8,0,0,0
44.0,80.0,56.0,609.0,3.0,2.3333333333333335,0,0,0,0
35.0,87.0,7.0,589.0,4.0,-1.0,4,0,0,0
44.0,80.0,15.0,711.0,-1.0,-1.0,6,0,0,0
36.0,87.0,7.0,824.0,4.0,4.0,8,0,0,0
45.0,79.0,35.0,741.0,0.0,-1.0,2,0,0,0
36.0,87.0,80.0,476.0,1.0,-1.0,20,0,0,0
36.0,87.0,57.0,708.0,-1.0,-1.0,8,0,0,0
38.0,85.0,22.0,430.0,2.0,-1.0,14,0,0,0
45.0,79.0,245.0,228.0,3.0,3.0,26,0,0,0
38.0,85.0,1156.0,162.0,1.0,2.5,20,0,0,0
34.0,88.0,6.0,154.0,2.0,-1.0,2,0,0,0
34.0,88.0,9.0,879.0,3.0,-1.0,6,0,0,0
47.0,77.0,58.0,810.0,3.0,1.0,0,0,0,0
48.0,76.0,83.0,578.0,2.0,3.0,2,0,0,0
36.0,87.0,7.0,332.0,4.0,-1.0,0,0,0,0
47.0,77.0,265.0,572.0,2.0,-1.0,0,0,0,0
28.0,92.0,51.0,966.0,2.0,-1.0,0,0,0,0
48.0,76.0,6.0,811.0,1.0,-1.0,0,0,0,0
51.0,73.0,139.0,485.0,4.0,-1.0,0,0,0,0
40.0,84.0,16.0,311.0,0.0,-1.0,0,0,0,0
56.0,68.0,63.0,784.0,2.0,1.0,0,0,0,0
30.0,91.0,37.0,621.0,-1.0,-1.0,4,0,0,0
34.0,88.0,9.0,519.0,-1.0,-1.0,0,0,0,0
42.0,82.0,129.0,522.0,2.0,-1.0,0,0,0,0
48.0,76.0,260.0,628.0,2.0,-1.0,0,0,0,0
44.0,80.0,219.0,576.0,3.0,-1.0,0,0,0,0
45.0,79.0,77.0,538.0,3.0,-1.0,0,0,0,0
42.0,82.0,13.0,157.0,1.0,-1.0,2,0,0,0
44.0,80.0,38.0,599.0,2.0,4.5,0,0,0,0
37.0,86.0,17.0,925.0,4.0,-1.0,0,0,0,0
32.0,89.0,7.0,398.0,-1.0,-1.0,0,0,0,0
39.0,84.0,6.0,753.0,-1.0,-1.0,4,0,0,0
39.0,84.0,8.0,560.0,2.0,-1.0,4,0,0,0
41.0,83.0,11.0,625.0,4.0,-1.0,4,0,0,0
42.0,82.0,92.0,632.0,2.0,-1.0,4,0,0,0
38.0,85.0,24.0,709.0,2.0,-1.0,4,0,0,0
41.0,83.0,60.0,332.0,2.0,3.6666666666666665,0,0,0,0
31.0,90.0,7.0,617.0,2.0,-1.0,4,0,0,0
41.0,83.0,17.0,724.0,4.0,-1.0,4,0,0,0
37.0,86.0,83.0,872.0,-1.0,-1.0,0,0,0,0
35.0,87.0,10.0,962.0,3.0,-1.0,0,0,0,0
42.0,82.0,197.0,435.0,3.0,-1.0,0,0,0,0
44.0,80.0,13.0,511.0,2.0,1.0,4,0,0,0
39.0,84.0,6.0,553.0,-1.0,-1.0,4,0,0,0
37.0,86.0,117.0,820.0,2.0,1.0,0,0,0,0
46.0,78.0,189.0,384.0,2.0,-1.0,2,0,0,0
41.0,83.0,340.0,980.0,3.0,2.3333333333333335,0,0,0,0
36.0,87.0,35.0,912.0,2.0,-1.0,10,0,0,0
33.0,89.0,32.0,866.0,3.0,-1.0,8,0,0,0
32.0,89.0,138.0,697.0,1.0,-1.0,4,0,0,0
40.0,84.0,15.0,935.0,2.0,1.0,8,0,0,0
41.0,83.0,6.0,365.0,1.0,-1.0,2,0,0,0
42.0,82.0,115.0,636.0,4.0,1.0,0,0,0,0
45.0,79.0,290.0,778.0,2.0,4.0,0,0,0,0
32.0,89.0,10.0,368.0,1.0,5.0,0,0,0,0
37.0,86.0,16.0,957.0,-1.0,-1.0,0,0,0,0
41.0,83.0,6.0,555.0,3.0,-1.0,0,0,0,0
45.0,79.0,80.0,330.0,2.0,-1.0,0,0,0,0
48.0,76.0,5.0,731.0,1.0,-1.0,0,0,0,0
46.0,78.0,100.0,323.0,3.0,-1.0,0,0,0,0
36.0,87.0,7.0,972.0,-1.0,-1.0,6,0,0,0
47.0,77.0,58.0,639.0,2.0,1.0,0,0,0,0
52.0,72.0,130.0,770.0,2.0,-1.0,0,0,0,0
44.0,80.0,15.0,971.0,-1.0,-1.0,6,0,0,0
38.0,85.0,12.0,329.0,1.0,-1.0,0,0,0,0
43.0,81.0,92.0,386.0,4.0,-1.0,0,0,0,0
47.0,77.0,43.0,358.0,4.0,-1.0,0,0,0,0
44.0,80.0,206.0,782.0,3.0,3.3333333333333335,0,0,0,0
44.0,80.0,16.0,769.0,1.0,-1.0,2,0,0,0
36.0,87.0,16.0,245.0,1.0,-1.0,2,0,0,0
43.0,81.0,19.0,359.0,3.0,-1.0,2,0,0,0
43.0,81.0,33.0,485.0,3.0,-1.0,4,0,0,0
45.0,79.0,71.0,439.0,2.0,5.0,0,0,0,0
46.0,78.0,151.0,483.0,2.0,-1.0,0,0,0,0
38.0,85.0,24.0,775.0,2.0,-1.0,4,0,0,0
32.0,89.0,138.0,816.0,1.0,-1.0,4,0,0,0
40.0,84.0,15.0,979.0,2.0,1.0,8,0,0,0
39.0,84.0,8.0,964.0,2.0,-1.0,4,0,0,0
41.0,83.0,11.0,922.0,4.0,-1.0,4,0,0,0
42.0,82.0,92.0,862.0,2.0,-1.0,4,0,0,0
44.0,80.0,15.0,528.0,-1.0,-1.0,6,0,0,0
37.0,86.0,28.0,315.0,2.0,3.6666666666666665,4,0,0,0
44.0,80.0,13.0,973.0,2.0,1.0,4,0,0,0
34.0,88.0,132.0,290.0,3.0,-1.0,8,0,0,0
34.0,88.0,259.0,303.0,4.0,-1.0,8,0,0,0
43.0,81.0,23.0,945.0,2.0,1.0,18,0,0,0
40.0,84.0,30.0,968.0,4.0,-1.0,18,0,0,0
43.0,81.0,18.0,790.0,2.0,-1.0,20,0,0,0
41.0,83.0,297.0,776.0,1.0,-1.0,20,0,0,0
36.0,87.0,35.0,800.0,2.0,-1.0,10,0,0,0
33.0,89.0,32.0,815.0,3.0,-1.0,8,0,0,0
38.0,85.0,256.0,496.0,2.0,5.0,16,0,0,0
44.0,80.0,232.0,721.0,1.0,5.0,26,0,0,0
36.0,87.0,7.0,469.0,-1.0,-1.0,6,0,0,0
35.0,87.0,15.0,599.0,2.0,-1.0,24,0,0,0
40.0,84.0,96.0,884.0,2.0,-1.0,26,0,0,0
41.0,83.0,19.0,844.0,4.0,1.0,34,0,0,0
44.0,80.0,39.0,880.0,-1.0,1.0,30,0,0,0
42.0,82.0,179.0,996.0,2.0,-1.0,20,0,0,0
45.0,79.0,192.0,895.0,3.0,-1.0,26,0,0,0
34.0,88.0,36.0,919.0,2.0,-1.0,20,0,0,0
35.0,87.0,33.0,931.0,2.0,-1.0,20,0,0,0
38.0,85.0,1156.0,596.0,1.0,2.5,20,0,0,0
36.0,87.0,324.0,785.0,1.0,4.0,14,0,0,0
43.0,81.0,246.0,884.0,4.0,-1.0,20,0,0,0
36.0,87.0,17.0,936.0,2.0,-1.0,20,0,0,0
44.0,80.0,11.0,718.0,2.0,-1.0,26,0,0,0
37.0,86.0,22.0,850.0,2.0,-1.0,26,0,0,0
34.0,88.0,44.0,451.0,2.0,-1.0,14,0,0,0
36.0,87.0,10.0,800.0,3.0,-1.0,24,0,0,0
37.0,86.0,83.0,757.0,2.0,2.4,22,0,0,0
31.0,90.0,31.0,981.0,-1.0,-1.0,24,0,0,0
39.0,84.0,65.0,746.0,2.0,-1.0,26,0,0,0
40.0,84.0,31.0,806.0,3.0,-1.0,26,0,0,0
38.0,85.0,38.0,971.0,2.0,-1.0,10,0,0,0
48.0,76.0,348.0,621.0,1.0,-1.0,16,0,0,0
34.0,88.0,7.0,478.0,0.0,-1.0,14,0,0,0
44.0,80.0,370.0,583.0,0.0,-1.0,18,0,0,0
44.0,80.0,6.0,882.0,4.0,-1.0,24,0,0,0
40.0,84.0,6.0,839.0,4.0,-1.0,20,0,0,0
45.0,79.0,245.0,822.0,3.0,3.0,26,0,0,0
31.0,90.0,27.0,898.0,2.0,4.75,24,0,0,0
32.0,89.0,17.0,811.0,-1.0,-1.0,12,0,0,0
44.0,80.0,20.0,750.0,1.0,-1.0,10,0,0,0
31.0,90.0,91.0,714.0,0.0,-1.0,10,0,0,0
32.0,89.0,24.0,855.0,2.0,4.333333333333333,10,0,0,0
28.0,92.0,19.0,898.0,2.0,-1.0,12,0,0,0
30.0,91.0,9.0,899.0,-1.0,-1.0,12,0,0,0
42.0,82.0,14.0,689.0,0.0,-1.0,10,0,0,0
27.0,92.0,43.0,725.0,3.0,-1.0,10,0,0,0
39.0,84.0,67.0,84.0,2.0,-1.0,0,0,0,0
28.0,92.0,51.0,374.0,2.0,-1.0,0,0,0,0
43.0,81.0,91.0,25.0,2.0,3.0,0,0,0,0
25.0,93.0,51.0,330.0,2.0,2.4,10,0,0,0
40.0,84.0,8.0,52.0,2.0,-1.0,0,0,0,0
40.0,84.0,33.0,887.0,2.0,1.0,18,0,0,0
43.0,81.0,33.0,936.0,3.0,-1.0,4,0,0,0
46.0,78.0,68.0,923.0,1.0,-1.0,8,0,0,0
45.0,79.0,36.0,913.0,1.0,-1.0,10,0,0,0
37.0,86.0,55.0,983.0,3.0,1.0,10,0,0,0
49.0,75.0,56.0,904.0,1.0,-1.0,8,0,0,0
35.0,87.0,36.0,733.0,3.0,2.3333333333333335,8,0,0,0
41.0,83.0,43.0,797.0,3.0,-1.0,8,0,0,0
31.0,90.0,206.0,525.0,2.0,-1.0,14,0,0,0
50.0,75.0,30.0,192.0,-1.0,-1.0,0,0,0,0
30.0,91.0,93.0,691.0,2.0,1.0,10,0,0,0
36.0,87.0,110.0,945.0,4.0,4.0,10,0,0,0
36.0,87.0,15.0,359.0,1.0,5.0,4,0,0,0
34.0,88.0,9.0,975.0,3.0,-1.0,6,0,0,0
30.0,91.0,26.0,800.0,3.0,2.0,10,0,0,0
28.0,92.0,103.0,886.0,4.0,1.0,8,0,0,0
34.0,88.0,99.0,785.0,3.0,-1.0,8,0,0,0
38.0,85.0,46.0,870.0,2.0,-1.0,14,0,0,0
47.0,77.0,74.0,810.0,2.0,2.3333333333333335,20,0,0,0
